price,floor_built,bedrooms,bathrooms,garage_included,terrace,balcony,swimming_pool,district
1400,60,2,1,False,True,False,False,Chamartín
1300,77,2,2,False,False,False,False,Chamartín
950,72,1,1,False,True,False,False,Chamartín
2975,160,4,3,True,True,False,True,Chamartín
650,30,0,1,False,False,True,False,Chamartín
1200,54,1,1,False,False,False,True,Chamartín
1290,55,2,1,False,True,False,False,Chamartín
900,35,1,1,False,False,False,False,Chamartín
3895,141,4,4,False,True,False,False,Chamartín
1750,148,3,2,True,True,False,True,Chamartín
700,37,0,1,False,False,False,False,Chamartín
830,50,1,1,False,True,False,False,Chamartín
1200,60,1,1,False,True,False,False,Chamartín
725,65,0,1,False,True,False,False,Chamartín
1490,65,3,1,False,False,False,False,Chamartín
1290,65,3,1,False,False,False,False,Chamartín
1290,60,2,1,False,False,False,False,Chamartín
1130,60,2,1,False,False,False,False,Chamartín
1030,60,1,1,False,False,False,False,Chamartín
900,50,1,1,False,False,False,False,Chamartín
1050,82,3,1,False,False,True,True,Chamartín
1400,115,3,2,True,True,True,True,Chamartín
3500,252,3,3,False,True,False,False,Chamartín
1850,90,4,1,False,False,False,False,Chamartín
950,28,1,1,False,False,False,False,Chamartín
900,68,3,1,False,False,False,False,Chamartín
1190,47,2,1,False,False,False,False,Chamartín
1425,87,2,2,True,False,False,True,Chamartín
1750,120,2,2,False,True,False,False,Chamartín
730,35,1,1,False,False,False,True,Chamartín
1300,60,2,1,True,False,False,False,Chamartín
1050,67,1,1,True,False,False,True,Chamartín
1300,100,3,2,False,True,False,False,Chamartín
1300,82,2,2,False,True,False,True,Chamartín
1198,70,2,1,False,True,False,True,Chamartín
1250,80,2,1,False,True,False,False,Chamartín
1300,57,1,1,True,False,False,True,Chamartín
950,55,1,1,False,False,False,True,Chamartín
1700,95,2,2,False,False,False,False,Chamartín
1400,86,3,1,False,False,False,False,Chamartín
2450,93,2,2,False,False,False,False,Chamartín
1500,77,2,2,False,False,True,False,Chamartín
2000,65,1,1,False,True,False,True,Chamartín
2000,80,1,1,False,True,False,True,Chamartín
1200,80,2,1,False,False,False,False,Chamartín
1100,72,1,1,False,False,False,False,Chamartín
1700,85,2,2,False,False,False,False,Chamartín
2570,70,2,2,False,False,False,False,Chamartín
1050,58,1,1,True,False,False,False,Chamartín
1650,70,2,2,False,False,False,False,Chamartín
900,50,2,1,False,False,False,False,Chamartín
3900,129,1,1,False,True,False,False,Chamartín
2565,60,1,1,False,False,False,False,Chamartín
1300,70,1,1,False,True,False,False,Chamartín
4750,210,4,5,False,False,False,True,Chamartín
1400,122,3,2,False,True,False,False,Chamartín
950,65,2,1,False,False,True,False,Chamartín
1350,95,2,2,False,True,False,True,Chamartín
950,60,1,1,False,True,False,False,Chamartín
1300,82,2,2,False,False,False,False,Chamartín
1975,100,2,2,False,False,False,False,Chamartín
1198,29,1,1,False,False,False,False,Chamartín
1300,55,1,1,False,False,False,False,Chamartín
1150,45,1,1,False,False,False,False,Chamartín
3000,134,3,3,False,True,False,False,Chamartín
1250,76,3,1,False,False,False,False,Chamartín
1300,60,1,1,True,False,False,False,Chamartín
3900,129,1,1,False,True,False,False,Chamartín
3550,210,5,4,False,False,True,False,Chamartín
2900,177,3,2,False,True,False,False,Chamartín
2500,215,4,2,False,True,True,False,Chamartín
1350,76,2,1,False,False,False,False,Chamartín
1500,90,2,1,False,False,False,False,Chamartín
3950,223,4,5,True,True,False,True,Chamartín
1300,82,2,2,False,True,False,False,Chamartín
2100,90,2,2,False,True,False,False,Chamartín
800,45,1,1,False,False,False,False,Chamartín
1400,105,2,2,False,False,False,False,Chamartín
2300,160,3,2,False,False,False,False,Chamartín
830,45,1,1,False,False,False,False,Chamartín
1300,69,1,1,False,False,False,False,Chamartín
1200,90,2,1,True,True,False,False,Chamartín
950,45,2,1,False,False,False,False,Chamartín
4800,278,5,3,True,True,False,False,Chamartín
945,65,2,1,False,False,True,False,Chamartín
1650,136,2,2,False,False,False,False,Chamartín
2500,220,5,3,True,True,True,True,Chamartín
2600,150,4,2,False,True,False,False,Chamartín
2450,94,2,2,False,False,False,False,Chamartín
1150,85,1,2,True,True,False,True,Chamartín
1600,80,2,2,False,False,False,False,Chamartín
1950,121,3,2,False,False,True,False,Chamartín
3300,175,4,3,True,True,True,True,Chamartín
1350,85,2,2,False,True,False,False,Chamartín
1650,115,4,2,False,False,False,False,Chamartín
1350,85,2,2,False,False,False,False,Chamartín
1200,70,1,1,False,False,False,False,Chamartín
2500,130,2,2,True,False,False,False,Chamartín
1680,60,1,1,False,True,False,False,Chamartín
1800,130,3,2,False,False,False,False,Chamartín
1250,75,2,2,False,False,False,False,Chamartín
1300,80,2,1,False,True,False,False,Chamartín
1500,132,2,2,False,True,False,False,Chamartín
1950,127,2,2,True,True,False,True,Chamartín
4200,258,2,3,True,True,False,True,Chamartín
1280,70,1,1,False,False,False,False,Chamartín
1600,120,3,2,False,False,False,False,Chamartín
1950,120,2,2,False,False,False,False,Chamartín
1070,55,1,1,True,False,False,False,Chamartín
1300,82,1,2,False,True,True,True,Chamartín
3850,285,4,4,False,True,True,False,Chamartín
1450,79,1,1,False,True,False,False,Chamartín
900,67,1,1,False,True,False,False,Chamartín
2000,154,4,3,True,True,False,False,Chamartín
2000,80,1,1,False,True,False,False,Chamartín
2500,170,3,3,False,False,False,False,Chamartín
2300,120,2,2,True,False,False,False,Chamartín
1300,50,1,1,False,True,False,False,Chamartín
3400,235,5,4,False,False,False,False,Chamartín
1050,113,3,1,False,True,False,False,Chamartín
1300,65,2,1,False,False,False,False,Chamartín
1100,65,2,1,False,False,False,False,Chamartín
2600,138,3,2,True,True,False,False,Chamartín
860,68,2,1,False,False,False,False,Chamartín
2300,120,2,2,True,False,False,False,Chamartín
3200,220,3,3,True,False,False,False,Chamartín
2300,110,2,2,True,False,False,True,Chamartín
1300,60,1,1,True,False,False,False,Chamartín
1400,110,2,1,False,True,False,False,Chamartín
1300,70,1,1,True,False,False,False,Chamartín
1195,55,1,1,False,False,False,True,Chamartín
1400,110,3,1,False,True,False,False,Chamartín
3000,192,5,3,True,False,False,False,Chamartín
1900,98,2,2,False,True,False,False,Chamartín
975,46,1,1,False,False,False,False,Chamartín
1150,70,3,1,False,False,False,False,Chamartín
1290,83,3,1,False,False,False,False,Chamartín
2400,171,4,3,False,False,False,False,Chamartín
1500,126,3,2,True,True,False,False,Chamartín
1350,70,2,2,False,False,False,False,Chamartín
1600,110,2,2,True,False,False,True,Chamartín
2500,120,3,3,True,True,True,True,Chamartín
2100,165,4,2,False,False,True,False,Chamartín
2500,122,2,2,True,True,True,True,Chamartín
1858,108,3,2,False,False,True,False,Chamartín
1750,85,2,2,False,False,False,False,Chamartín
4950,310,5,4,False,False,False,False,Chamartín
1700,85,2,2,False,False,False,False,Chamartín
900,85,2,1,False,True,False,False,Chamartín
2350,102,3,2,False,True,False,False,Chamartín
2250,95,3,3,False,True,False,True,Chamartín
1000,60,1,1,False,True,False,True,Chamartín
2300,120,2,2,True,False,False,False,Chamartín
2950,179,3,3,False,False,False,True,Chamartín
1580,75,1,1,False,False,False,True,Chamartín
5500,474,5,4,True,True,False,False,Chamartín
1500,127,2,1,True,False,False,False,Chamartín
2700,160,4,4,False,False,True,False,Chamartín
8500,353,6,4,True,True,True,True,Chamartín
1250,72,2,1,False,False,False,False,Chamartín
1450,90,2,2,True,False,False,True,Chamartín
1250,110,3,2,False,True,False,False,Chamartín
1350,65,1,1,False,False,False,True,Chamartín
2500,160,4,2,False,True,False,False,Chamartín
2400,166,4,2,False,False,False,False,Chamartín
1100,56,1,1,False,False,False,False,Chamartín
2800,200,4,4,True,False,False,True,Chamartín
1260,80,1,1,False,True,False,True,Chamartín
8000,377,6,4,False,True,False,True,Chamartín
1485,50,1,1,False,False,False,False,Chamartín
1900,125,4,2,False,True,True,False,Chamartín
5000,317,6,4,True,True,False,False,Chamartín
2800,190,2,3,False,False,False,False,Chamartín
7500,300,4,3,True,True,False,True,Chamartín
3300,191,4,3,True,True,False,False,Chamartín
3500,217,4,3,True,True,False,False,Chamartín
1000,54,1,1,False,True,False,False,Chamartín
1400,112,2,1,False,True,False,False,Chamartín
3200,222,4,3,False,True,False,False,Chamartín
2650,161,3,2,False,False,False,False,Chamartín
1190,63,1,1,False,False,False,True,Chamartín
3300,205,3,3,True,True,False,False,Chamartín
2200,80,2,2,True,False,False,False,Chamartín
2200,116,3,2,True,False,False,True,Chamartín
2700,153,2,2,False,False,False,False,Chamartín
2225,55,1,1,False,False,False,False,Chamartín
1000,81,1,1,True,False,False,False,Chamartín
2500,85,2,1,True,True,False,False,Chamartín
1650,80,2,1,False,False,False,False,Chamartín
3200,220,4,3,True,False,False,False,Chamartín
2600,150,1,1,False,True,False,True,Chamartín
950,75,2,1,False,False,False,True,Chamartín
2000,110,2,2,False,False,False,False,Chamartín
2000,140,4,2,False,False,False,False,Chamartín
3300,200,4,3,True,True,True,True,Chamartín
3100,180,2,3,True,True,False,False,Chamartín
8500,353,7,4,True,True,True,True,Chamartín
1950,115,2,2,True,False,False,False,Chamartín
7000,280,4,4,True,True,True,True,Chamartín
900,40,1,1,False,False,False,False,Chamartín
8500,353,5,4,False,True,False,True,Chamartín
1900,63,1,1,False,False,True,False,Chamartín
1590,100,1,2,False,False,False,False,Chamartín
1350,80,2,1,False,False,True,False,Chamartín
2300,180,3,3,False,False,False,False,Chamartín
1615,40,0,1,False,False,False,False,Chamartín
1832,55,2,1,False,False,False,False,Chamartín
1150,74,1,1,False,False,False,False,Chamartín
3850,285,4,4,False,True,False,False,Chamartín
2400,142,4,2,True,True,False,True,Chamartín
1325,50,1,1,False,True,True,False,Chamartín
1650,122,2,2,False,False,False,False,Chamartín
3250,230,3,2,True,True,False,False,Chamartín
3000,250,4,4,True,False,False,False,Chamartín
2100,112,3,2,False,True,False,False,Chamartín
2900,150,4,3,True,False,False,True,Chamartín
2970,85,2,2,False,True,True,False,Chamartín
1200,40,1,1,False,False,False,False,Chamartín
3600,300,5,4,True,False,False,False,Chamartín
1500,100,2,2,False,True,False,False,Chamartín
3150,237,5,4,True,True,False,True,Chamartín
